rank,investor,fund,fit_score,stage_fit,sector_fit,geo_fit,momentum,why_now,warm_paths,urls,email_draft
1,Sarah Guo,Conviction,75.5,1.0,0.3,1.0,1.0,"stage aligns, geo fit, recent activity",Podcast appearance; Mutual via portfolio overlap,https://www.conviction.com/,"Subject: Intro —  × Conviction  Hi Sarah,  I'm building  — . Why you: Conviction invests at pre-seed, seed, series-a in ai, infrastructure, developer tools, security. stage aligns, geo fit, recent activity   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
2,Lightspeed Venture Partners,Lightspeed,75.5,1.0,0.3,1.0,1.0,"stage aligns, geo fit, recent activity",Operator network,https://lsvp.com/,"Subject: Intro —  × Lightspeed  Hi Lightspeed,  I'm building  — . Why you: Lightspeed invests at seed, series-a, series-b in ai, saas, infra, security. stage aligns, geo fit, recent activity   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
3,Vcsheet,Vcsheet,70.5,1.0,0.3,1.0,0.5,"stage aligns, geo fit",,https://www.vcsheet.com/sheet/funds-that-lead-seeds,"Subject: Intro —  × Vcsheet  Hi Vcsheet,  I'm building  — . Why you: Vcsheet invests at seed in ai, infra. stage aligns, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
4,Pear VC,Pear VC,70.5,1.0,0.3,1.0,0.5,"stage aligns, geo fit",,https://www.forbes.com/lists/midas-seed/,"Subject: Intro —  × Pear VC  Hi Pear,  I'm building  — . Why you: Pear VC invests at seed in ai, infra. stage aligns, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
5,Top Seed Investors & VC,Top Seed Investors & VC,70.5,1.0,0.3,1.0,0.5,"stage aligns, geo fit",,https://vc-mapping.gilion.com/venture-capital-firms/seed-investors,"Subject: Intro —  × Top Seed Investors & VC  Hi Top,  I'm building  — . Why you: Top Seed Investors & VC invests at seed in ai, infra. stage aligns, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
6,Seed VC,Seed VC,70.5,1.0,0.3,1.0,0.5,"stage aligns, geo fit",,https://www.betaboom.com/magazine/article/top-pre-seed-funds,"Subject: Intro —  × Seed VC  Hi Seed,  I'm building  — . Why you: Seed VC invests at seed in ai, infra. stage aligns, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
7,Surface Ventures,Surface Ventures,70.5,1.0,0.3,1.0,0.5,"stage aligns, geo fit",,https://www.betaboom.com/magazine/article/top-pre-seed-funds,"Subject: Intro —  × Surface Ventures  Hi Surface,  I'm building  — . Why you: Surface Ventures invests at seed in ai, infra. stage aligns, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
8,Spacecadet,Spacecadet,70.5,1.0,0.3,1.0,0.5,"stage aligns, geo fit",,https://spacecadet.ventures/top-seed-investors,"Subject: Intro —  × Spacecadet  Hi Spacecadet,  I'm building  — . Why you: Spacecadet invests at seed in ai, infra. stage aligns, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
9,Overline,Overline,70.5,1.0,0.3,1.0,0.5,"stage aligns, geo fit",,https://overline.vc/,"Subject: Intro —  × Overline  Hi Overline,  I'm building  — . Why you: Overline invests at seed in ai, infra. stage aligns, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
10,Active VC,Active VC,70.5,1.0,0.3,1.0,0.5,"stage aligns, geo fit",,https://www.rho.co/blog/seed-stage-vc,"Subject: Intro —  × Active VC  Hi Active,  I'm building  — . Why you: Active VC invests at seed in ai, infra. stage aligns, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
11,What is Seed Stage Venture Capital,What is Seed Stage Venture Capital,70.5,1.0,0.3,1.0,0.5,"stage aligns, geo fit",,https://www.rho.co/blog/seed-stage-vc,"Subject: Intro —  × What is Seed Stage Venture Capital  Hi What,  I'm building  — . Why you: What is Seed Stage Venture Capital invests at seed in ai, infra. stage aligns, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
12,Top Venture Capital,Top Venture Capital,70.5,1.0,0.3,1.0,0.5,"stage aligns, geo fit",,https://eqvista.com/best-100-active-venture-capitalist-firms-for-startup-funding/,"Subject: Intro —  × Top Venture Capital  Hi Top,  I'm building  — . Why you: Top Venture Capital invests at seed in ai, infra. stage aligns, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
13,Sequoia Capital,Sequoia Capital,70.5,1.0,0.3,1.0,0.5,"stage aligns, geo fit",,https://eqvista.com/best-100-active-venture-capitalist-firms-for-startup-funding/,"Subject: Intro —  × Sequoia Capital  Hi Sequoia,  I'm building  — . Why you: Sequoia Capital invests at seed in ai, infra. stage aligns, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
14,Lombardstreet Ventures,Lombardstreet Ventures,70.5,1.0,0.3,1.0,0.5,"stage aligns, geo fit",,https://lombardstreet.vc/,"Subject: Intro —  × Lombardstreet Ventures  Hi Lombardstreet,  I'm building  — . Why you: Lombardstreet Ventures invests at seed in ai, infra. stage aligns, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
15,At Lombardstreet Ventures,At Lombardstreet Ventures,70.5,1.0,0.3,1.0,0.5,"stage aligns, geo fit",,https://lombardstreet.vc/,"Subject: Intro —  × At Lombardstreet Ventures  Hi At,  I'm building  — . Why you: At Lombardstreet Ventures invests at seed in ai, infra. stage aligns, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
16,True Ventures,True Ventures,70.5,1.0,0.3,1.0,0.5,"stage aligns, geo fit",,https://www.vcsheet.com/sheet/funds-that-lead-seeds,"Subject: Intro —  × True Ventures  Hi True,  I'm building  — . Why you: True Ventures invests at seed in ai, infra. stage aligns, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
17,Businessinsider,Businessinsider,70.5,1.0,0.3,1.0,0.5,"stage aligns, geo fit",,https://www.businessinsider.com/seed-100-best-early-stage-vc-investors-2025-5,"Subject: Intro —  × Businessinsider  Hi Businessinsider,  I'm building  — . Why you: Businessinsider invests at seed in ai, infra. stage aligns, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
18,Dealroom,Dealroom,70.5,1.0,0.3,1.0,0.5,"stage aligns, geo fit",,https://dealroom.co/guides/vc-investor-ranking,"Subject: Intro —  × Dealroom  Hi Dealroom,  I'm building  — . Why you: Dealroom invests at seed in ai, infra. stage aligns, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
19,Nfx,Nfx,70.5,1.0,0.3,1.0,0.5,"stage aligns, geo fit",,https://signal.nfx.com/investor-lists/top-biotech-seed-investors,"Subject: Intro —  × Nfx  Hi Nfx,  I'm building  — . Why you: Nfx invests at seed in ai, infra. stage aligns, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
20,Seedtable,Seedtable,70.5,1.0,0.3,1.0,0.5,"stage aligns, geo fit",,https://www.seedtable.com/investors-seed,"Subject: Intro —  × Seedtable  Hi Seedtable,  I'm building  — . Why you: Seedtable invests at seed in ai, infra. stage aligns, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
